assetid;balltype;teamcolor1g;teamcolor1r;teamcolor2b;teamcolor2r;teamcolor3r;teamcolor1b;latitude;teamcolor3g;teamcolor2g;teamname;adboardid;teamcolor3b;defmentality;powid;rightfreekicktakerid;physioid_secondary;domesticprestige;genericint2;jerseytype;rivalteam;midfieldrating;matchdayoverallrating;matchdaymidfieldrating;attackrating;physioid_primary;longitude;buspassing;matchdaydefenserating;defenserating;defteamwidth;longkicktakerid;bodytypeid;trait1;busdribbling;rightcornerkicktakerid;suitvariationid;defaggression;ethnicity;leftcornerkicktakerid;teamid;fancrowdhairskintexturecode;suittypeid;numtransfersin;captainid;personalityid;leftfreekicktakerid;genericbanner;buspositioning;stafftracksuitcolorcode;ccpositioning;busbuildupspeed;transferbudget;ccshooting;overallrating;ccpassing;utcoffset;penaltytakerid;freekicktakerid;defdefenderline;internationalprestige;form;genericint1;cccrossing;matchdayattackrating
647;211;255;255;255;0;255;0;60;255;128;SC Cambuur;14;0;38;-1;242381;2;4;-1;2;1913;63;61;63;61;1;17;52;61;61;39;242381;1;8;32;242381;1;29;2;242381;647;0;1;0;202458;0;242381;0;0;0;0;56;4000000;30;61;61;1;243716;242381;0;2;0;-1;64;61
650;40;145;13;4;255;10;49;52;10;236;ADO Den Haag;14;10;44;-1;211176;2;12;-1;2;245;69;68;69;67;1;4;51;68;68;33;211176;0;0;48;200831;1;34;2;200831;650;0;0;0;188157;0;211176;0;0;0;0;51;2000000;33;68;34;1;200831;211176;0;8;0;-1;48;67
670;53;5;5;255;255;40;5;50;40;255;Royal Charleroi S.C.;11;40;48;-1;220782;2;11;-1;2;232;70;71;70;71;1;4;70;70;70;43;220782;1;72;46;220782;0;32;2;220782;670;0;0;0;220782;0;220782;0;0;0;0;67;1400000;73;70;62;1;220782;220782;0;1;0;-1;46;70
673;53;72;55;255;255;255;186;51;255;255;KRC Genk;11;255;67;-1;229659;2;15;-1;2;232;71;72;71;70;1;5;52;71;71;63;229659;1;10;54;241162;1;63;2;229659;673;0;0;0;229659;0;229659;0;0;0;0;51;17000000;59;72;47;1;229659;229659;0;3;0;-1;53;68
674;53;58;1;255;255;1;183;51;108;255;KAA Gent;11;153;67;-1;176009;2;16;-1;2;231;72;72;72;73;1;3;51;72;72;57;176009;2;6;68;176009;1;57;2;176009;674;0;0;0;176009;0;176009;0;0;0;0;50;12500000;58;73;33;1;233630;176009;0;5;0;-1;67;69
675;53;0;128;255;255;128;255;51;0;255;Beerschot AC;11;255;60;-1;204493;2;13;-1;1;230;69;67;67;67;1;3;49;67;69;64;204493;1;41;54;204493;0;58;2;204493;675;0;0;0;180337;1;204493;0;0;0;0;52;5500000;41;69;48;1;204493;204493;1;1;0;-1;74;66
680;53;219;246;200;46;16;0;50;35;65;Sint-Truidense VV;11;140;67;-1;199674;2;10;-1;2;673;68;67;66;70;1;5;52;67;68;43;184176;1;260;54;223765;1;63;2;223765;680;0;2;0;199674;0;199674;0;0;0;0;51;1200000;44;68;59;1;194365;184176;0;1;0;-1;73;68
681;53;244;249;181;14;229;0;51;224;113;KVC Westerlo;11;20;49;-1;200529;2;11;-1;2;110724;67;68;68;69;1;5;50;67;67;53;200529;1;9;46;200529;1;45;2;200529;681;0;1;0;200529;0;200529;0;0;0;0;63;1100000;38;68;57;1;200529;200529;0;1;0;-1;55;70
682;53;28;237;0;255;0;36;51;166;226;KV Oostende;1;80;46;-1;257307;2;8;-1;2;231;70;70;70;72;1;2;52;70;71;39;257307;1;6;79;247112;1;33;2;247112;682;0;0;0;255400;0;257307;0;0;0;0;52;3000000;39;71;33;1;255400;257307;0;2;0;-1;39;72
687;215;223;250;1;1;250;22;40;223;1;Columbus Crew SC;1;22;45;-1;215270;2;8;-1;2;693;73;70;73;75;1;-83;36;68;68;56;215270;1;42;30;215270;1;64;2;215270;687;0;0;0;198970;0;215270;0;1;0;1;40;18500000;60;70;40;-5;198970;215270;0;3;0;-1;60;75
688;215;1;1;255;255;239;1;39;47;255;D.C. United;1;36;49;-1;237223;2;9;-1;2;689;69;68;69;65;1;-77;68;66;66;65;237223;0;66;49;237223;1;47;2;237223;688;0;1;0;221621;1;237223;0;0;0;0;66;27500000;75;68;77;-5;179551;237223;0;4;0;-1;73;65
689;215;0;246;255;255;31;29;41;42;255;NY Red Bulls;1;62;66;-1;220934;2;8;-1;1;112828;70;70;70;75;1;-74;39;68;68;61;226273;0;128;36;220934;0;61;2;220934;689;0;0;0;226376;1;226273;0;0;0;1;36;24500000;31;70;31;-5;199729;226273;0;4;0;-1;31;75
691;215;52;38;255;255;235;84;42;22;255;New England Revolution;1;52;46;-1;190184;2;7;-1;2;689;70;69;70;71;1;-71;38;67;67;53;190184;1;128;55;190184;1;41;2;190184;691;0;1;0;182130;1;190184;0;0;0;1;40;21500000;55;69;35;-5;182130;190184;0;3;0;-1;55;71
693;215;0;246;255;255;15;29;42;38;255;Chicago Fire Soccer Club;1;106;74;-1;204874;2;3;-1;2;687;71;69;71;76;1;-88;36;68;68;38;204874;1;264;25;204874;1;68;4;204874;693;0;2;0;176071;1;204874;0;0;0;1;38;28000000;58;69;38;-6;176071;204874;1;1;0;-1;58;76
694;215;1;129;255;153;129;14;40;1;204;Colorado Rapids;1;14;48;-1;202866;2;3;-1;2;111065;68;68;68;67;1;-105;69;67;67;66;202866;0;68;40;219684;1;62;2;219684;694;0;2;0;210970;0;202866;0;0;0;1;73;17500000;76;68;72;-7;210970;202866;0;1;0;-1;76;67
695;215;0;220;255;255;1;0;33;62;255;FC Dallas;1;127;67;-1;189153;2;5;-1;1;698;71;70;71;69;1;-97;52;71;71;38;213209;1;16;38;198347;0;58;5;198347;695;0;1;0;206662;0;189153;0;1;0;0;51;20000000;64;70;62;-6;206662;189153;0;2;0;-1;38;69
696;215;24;12;191;118;255;43;39;255;156;Sporting Kansas City;1;255;66;-1;190557;2;8;-1;2;698;71;70;71;69;1;-95;36;70;70;70;190557;1;18;35;190557;1;70;2;190557;696;0;0;0;190772;1;190557;0;0;0;1;40;27000000;40;70;40;-6;190557;190557;0;2;0;-1;40;69
697;215;36;0;0;255;255;93;34;255;210;LA Galaxy;1;255;47;-1;189508;2;10;-1;2;111928;73;70;73;71;1;-118;38;68;68;68;189508;2;0;32;189508;1;38;4;189508;697;0;1;0;238356;0;189508;0;1;0;0;37;37000000;42;70;32;-8;238356;189508;0;5;0;-1;72;71
698;215;135;246;255;255;240;18;30;130;255;Houston Dynamo;1;12;44;-1;210321;2;7;-1;2;695;68;68;68;69;1;-95;68;68;68;41;210321;1;8;54;210321;0;58;6;210321;698;0;1;0;210321;0;210321;0;0;0;0;69;24000000;71;68;68;-6;210321;210321;1;2;0;-1;52;69
700;211;220;249;1;1;255;36;57;255;1;IF Elfsborg;15;30;66;-1;205834;2;17;-1;2;319;68;67;68;68;1;12;40;65;65;42;205834;1;6;52;205834;1;62;2;205834;700;0;0;0;138247;0;205834;0;0;0;1;37;1000000;52;67;32;1;138247;205834;0;7;0;-1;52;68
702;211;68;17;255;255;32;126;58;95;255;IFK Norrköping;15;223;66;-1;220981;2;11;-1;1;705;68;66;68;64;1;16;40;65;65;48;220981;2;42;23;209039;1;68;2;209039;702;0;0;0;202043;0;220981;0;0;0;0;38;950000;58;66;38;1;202043;220981;0;6;0;-1;58;64
705;211;255;255;1;1;245;255;59;255;1;Örebro SK;15;235;43;-1;181013;2;11;-1;1;702;65;63;65;63;1;15;53;61;61;35;181013;0;8;43;181013;0;66;2;181013;705;0;1;0;181013;0;181013;0;0;0;1;50;650000;35;63;66;1;197240;181013;0;6;0;-1;42;63
708;211;97;0;255;255;0;33;59;77;255;Hammarby IF;15;24;43;-1;187339;2;15;-1;1;710;66;66;66;67;1;18;52;65;65;44;187339;1;68;28;187339;1;58;2;187339;708;0;2;0;189721;0;187339;0;0;0;0;50;850000;44;66;58;1;189721;187339;0;7;0;-1;32;67
710;211;128;0;95;47;15;255;59;125;62;Djurgårdens IF;15;210;59;-1;183885;2;17;-1;2;433;67;66;67;61;1;18;51;66;66;50;183885;2;136;51;233040;0;60;4;183885;710;0;1;0;183885;1;183885;0;0;0;0;53;1600000;63;66;34;1;183885;183885;0;7;0;-1;50;61
711;211;204;255;1;1;255;0;58;255;1;BK Häcken;15;255;47;-1;192165;2;13;-1;1;319;65;66;65;67;1;12;53;67;67;60;192165;1;0;71;192165;0;57;2;192165;711;0;1;0;192165;0;192165;0;0;0;0;49;750000;60;66;57;1;192165;192165;0;6;0;-1;41;67
731;211;27;233;208;36;255;35;37;255;94;Panionios GSS;1;255;56;-1;275273;2;13;-1;0;110452;65;62;65;60;1;23;42;60;60;52;275273;0;0;43;226076;0;58;2;226076;731;0;0;0;275273;0;275273;0;0;0;0;52;500000;44;62;40;2;204782;204902;0;9;0;-1;53;60
741;240;23;168;255;255;255;31;36;255;255;Antalyaspor;37;255;44;-1;202642;2;10;-1;1;113142;69;70;69;68;1;30;49;70;70;66;202642;1;272;64;202642;1;69;2;202642;741;0;2;0;194077;0;202642;0;0;0;0;51;6000000;66;69;69;2;202642;202642;0;10;0;-1;63;70
744;240;110;0;255;255;255;10;41;255;255;Rio Ave FC;25;255;59;-1;213374;2;6;-1;1;1896;73;71;71;71;1;-9;40;71;72;70;213374;1;180;40;213374;1;48;2;213374;744;0;0;0;213374;0;213374;0;0;0;1;40;3500000;50;72;40;0;213374;213374;1;4;0;-1;80;70
746;240;255;255;0;0;255;0;41;255;0;İstanbulspor;37;0;49;-1;269862;2;9;-1;1;111117;70;70;70;71;1;32;50;69;69;52;269862;1;0;59;269862;0;65;4;269862;746;0;0;0;234254;1;269862;0;0;0;0;52;3000000;52;70;65;2;269862;269862;0;6;0;-1;59;70
780;211;123;4;1;1;255;94;48;255;1;SV Ried;16;255;33;-1;216184;2;14;-1;2;254;64;63;64;65;1;13;60;62;63;63;216184;2;4;41;216184;0;51;2;216184;780;0;1;0;156438;0;216184;0;0;0;0;40;650000;45;64;35;1;216184;216184;0;6;0;-1;58;65
819;51;76;9;255;255;10;187;55;74;255;FC København;12;177;76;-1;224389;2;20;-1;2;269;72;71;72;69;1;13;52;70;70;44;224389;0;184;55;219466;0;74;2;219466;819;0;2;0;207554;1;224389;0;0;0;0;52;10000000;69;71;68;1;207554;224389;1;10;0;-1;74;69
820;51;18;228;255;255;227;0;57;18;255;Aalborg BK;12;0;67;-1;224356;2;17;-1;1;1516;65;65;65;62;1;9;37;66;66;48;224356;0;160;25;194726;1;68;2;194726;820;0;2;0;213777;0;224356;0;1;0;1;38;3000000;38;65;38;1;226232;224356;0;8;0;-1;38;62
837;65;255;255;1;1;255;255;53;255;1;Dundalk;34;255;68;-1;194791;2;15;-1;2;306;62;60;62;58;1;-6;37;60;60;46;194791;1;136;54;194791;0;56;2;194791;837;0;2;0;190031;0;194791;0;0;0;0;52;950000;63;60;49;0;200845;194791;0;2;0;-1;55;58
838;65;150;24;255;255;45;76;53;149;255;Bray Wanderers;34;84;43;-1;180894;2;10;-1;2;423;59;58;59;56;1;-6;52;57;57;44;180894;2;17;74;198543;1;47;2;180894;838;0;2;0;165458;0;180894;0;0;0;0;51;525000;44;58;47;0;180894;180894;0;1;0;-1;73;56
873;211;81;0;255;255;65;156;52;121;255;Lech Poznań;1;198;74;-1;260807;2;20;-1;2;1871;71;70;71;71;1;16;53;68;68;47;260807;1;144;37;258276;1;77;4;258276;873;0;0;0;206626;1;260807;0;0;0;1;50;5000000;45;70;63;2;206626;260807;0;9;0;-1;37;71
874;211;87;40;255;255;53;159;50;118;255;Ruch Chorzow;26;236;35;-1;106436;2;13;-1;2;111086;64;66;66;63;1;18;45;67;65;64;106436;1;8;57;106436;0;38;2;219700;874;0;2;0;176253;0;219700;0;0;0;0;40;3500000;36;64;58;1;219700;219700;0;6;0;-1;47;68
894;211;255;255;230;1;255;255;47;255;155;FC Zürich;1;255;43;-1;231027;2;18;-1;1;322;64;64;63;67;1;8;67;64;66;40;231027;1;64;47;231027;1;32;2;231027;894;0;0;0;204842;0;231027;0;0;0;1;67;4000000;70;66;62;1;231027;231027;0;7;0;-1;66;65
896;211;4;230;129;1;249;22;47;222;7;FC Basel;17;50;68;-1;199504;2;20;-1;2;900;74;72;72;71;1;7;38;70;73;58;199504;1;178;28;199504;1;58;2;199504;896;0;2;0;199504;0;199504;0;0;0;1;38;9000000;48;73;38;1;199504;199504;0;11;0;-1;68;70
897;211;98;0;255;255;240;170;47;230;255;FC Luzern;17;30;60;-1;212150;2;9;-1;2;896;65;66;67;66;1;8;39;62;62;46;212150;1;160;26;231077;1;64;2;212150;897;0;2;0;190058;0;212150;0;0;0;0;36;4000000;36;65;36;1;212150;231077;0;5;0;-1;76;66
898;211;148;45;255;255;45;88;47;168;255;FC St. Gallen;17;88;47;-1;210619;2;12;-1;2;897;66;66;66;67;1;9;50;65;66;52;210619;1;34;50;228645;0;65;2;210619;898;0;1;0;228645;0;210619;0;0;0;0;52;4000000;52;67;65;1;228645;210619;0;5;0;-1;79;67
900;211;209;255;1;1;255;0;46;219;1;BSC Young Boys;17;0;60;-1;250766;2;18;-1;2;896;68;71;69;72;1;7;51;69;67;35;250766;0;144;45;270328;0;61;2;270328;900;0;0;0;177019;0;250766;0;0;0;0;53;9000000;68;70;51;1;177019;250766;0;8;0;-1;65;72
917;211;107;19;1;1;255;174;59;255;1;Stabæk Fotball;13;255;66;-1;211238;2;11;-1;2;920;63;64;63;67;1;11;37;63;63;35;211238;2;8;30;233445;1;55;4;220786;917;0;2;0;213618;1;211238;0;0;0;0;40;500000;55;64;35;1;213618;211238;0;6;0;-1;55;67
918;51;228;255;1;1;235;0;67;210;1;FK Bodø/Glimt;13;0;40;-1;224874;2;11;-1;2;298;62;61;62;61;1;14;63;62;62;53;224874;1;8;48;224874;1;57;2;224874;918;0;2;0;221001;0;224874;0;0;0;0;59;3000000;67;61;44;1;224874;224874;0;3;0;-1;63;61
919;211;19;204;255;255;245;25;60;10;255;SK Brann;13;12;27;-1;200770;2;6;-1;1;920;66;66;66;66;1;5;70;67;67;37;221552;0;72;49;200770;0;35;2;200770;919;0;2;0;189899;0;200770;0;0;0;0;72;1000000;63;66;63;1;200770;200770;0;3;0;-1;63;66
920;211;46;25;63;226;255;202;59;255;31;Vålerenga Fotball;13;255;59;-1;140618;2;19;-1;2;299;63;65;63;64;1;10;40;65;65;63;140618;1;0;48;177912;0;57;2;140618;920;0;2;0;183377;0;140618;0;0;0;0;38;1300000;53;65;33;1;183377;140618;0;9;0;-1;53;64
922;211;51;51;255;255;198;102;59;36;255;Strømsgodset IF;13;5;68;-1;203368;2;15;-1;1;298;67;67;67;67;1;10;51;68;68;56;197391;1;256;36;197391;1;56;2;203368;922;0;0;0;233400;0;203368;0;0;0;0;49;1100000;63;67;40;1;197391;203368;0;6;0;-1;66;67
974;240;0;244;255;255;1;48;37;111;255;Korea Republic;1;211;51;-1;200104;2;20;-1;1;1411;69;70;69;64;1;126;40;70;70;51;200104;2;0;50;200104;1;48;2;200104;974;0;0;0;200104;1;200104;0;0;1;1;55;0;45;70;45;9;200104;200104;0;11;0;-1;38;64
982;240;1;255;1;1;255;1;37;255;1;FC Seoul;1;255;48;-1;208063;2;20;-1;2;983;69;68;69;65;1;126;51;66;66;48;208063;1;32;56;208063;1;70;4;208063;982;0;2;0;165888;0;208063;0;0;0;0;49;4600000;48;68;70;9;234222;208063;0;7;0;-1;56;65
983;240;1;1;255;255;204;204;37;1;255;Suwon Samsung;1;1;43;-1;176348;2;15;-1;2;982;67;69;67;71;1;127;51;69;69;43;176348;1;40;78;176348;1;52;4;176348;983;0;0;0;176348;0;176348;0;0;0;0;51;5000000;43;69;52;9;176348;176348;0;5;0;-1;78;71
1013;216;44;29;17;217;29;63;-34;44;27;San Lorenzo de Almagro;1;63;44;-1;211267;2;20;-1;2;111711;73;74;73;76;1;-58;38;71;71;68;211267;2;32;22;211267;1;48;2;211267;1013;0;2;0;189575;0;211267;0;0;0;0;37;9000000;42;73;32;-3;189575;211267;0;11;0;-1;42;77
1032;170;34;13;255;255;13;63;25;34;255;Monterrey;24;63;66;-1;236841;2;16;-1;2;1970;74;76;75;76;1;-100;67;74;74;54;239725;2;18;38;236841;1;70;4;236841;1032;0;0;0;173432;0;236841;0;0;0;1;73;24500000;66;74;68;-6;173432;239725;0;8;0;-1;34;79
1035;197;1;1;255;255;255;1;-19;255;255;Clube Atlético Mineiro;32;255;50;-1;157271;2;16;-1;2;568;74;74;74;73;1;-44;38;73;73;67;157271;1;144;67;191186;0;49;2;191186;1035;0;2;0;157271;1;157271;0;0;0;0;39;8000000;57;74;51;-3;157271;157271;0;10;0;-1;66;73
1039;197;0;155;1;1;255;29;-25;255;1;Clube Atlético Paranaense;32;255;39;-1;181376;2;12;-1;2;111044;69;68;69;67;1;-49;68;65;65;55;181376;1;0;61;142750;0;45;6;203709;1039;0;2;0;142750;0;181376;0;0;0;0;70;1650000;65;68;53;-3;233193;181376;0;8;0;-1;67;67
1041;197;255;255;0;0;0;255;-23;0;0;Corinthians SP;32;0;57;-1;202556;2;20;-1;2;598;73;73;73;76;1;-46;41;71;71;42;202556;0;10;46;202556;0;58;2;202556;1041;0;1;0;167958;0;202556;0;1;0;1;38;11000000;48;73;50;-3;167958;202556;1;13;0;-1;47;76
1043;197;0;215;0;0;0;15;-23;0;0;Flamengo RJ;32;0;51;-1;240699;2;20;-1;2;567;71;73;71;73;1;-43;54;72;72;58;240699;0;16;66;191043;0;49;6;191043;1043;0;2;0;240699;0;240699;0;1;0;1;69;5000000;69;73;55;-3;240699;240699;1;13;0;-1;53;73
1048;211;0;200;255;255;255;0;-30;255;255;S.C. Internacional;32;255;45;-1;138703;2;16;-1;2;1629;71;72;71;71;1;-51;57;70;70;59;138703;1;16;61;138703;0;58;2;138703;1048;0;0;0;138703;2;138703;0;0;0;0;68;7500000;52;72;55;-3;138703;138703;0;12;0;-1;54;71
1053;197;255;255;1;1;1;255;-24;1;1;Santos FC;32;1;48;-1;190871;2;16;-1;2;598;72;72;72;75;1;-46;52;70;70;56;190871;2;0;59;201434;0;49;5;215186;1053;0;2;0;265604;1;190871;0;0;0;1;66;8750000;52;72;58;-3;265604;190871;0;11;0;-1;30;75
1318;240;255;255;6;241;255;255;51;255;6;England;1;255;43;-1;202126;2;10;-1;2;1337;81;82;81;84;1;0;52;81;81;49;252371;0;0;41;237692;1;55;2;237692;1318;0;0;0;202126;0;202126;0;0;0;0;49;0;49;82;55;0;202126;202126;0;8;0;-1;41;84
1319;211;0;255;0;0;255;0;37;0;0;Albania;1;0;42;-1;234983;2;20;-1;1;1341;50;50;50;50;1;23;45;50;50;44;234983;1;0;40;237640;0;55;2;234983;1319;0;0;0;189296;0;234983;0;0;0;0;50;0;55;50;40;2;261204;234983;0;9;0;-1;59;50
1321;211;0;255;255;0;255;0;40;255;0;Armenia;1;0;56;-1;192883;2;20;-1;1;1365;50;50;50;50;1;44;57;50;50;46;186270;1;0;53;186270;0;42;2;192883;1321;0;0;0;168760;0;196217;0;0;0;0;44;0;56;50;54;4;176270;192883;1;8;0;-1;53;50
1322;71;9;204;255;255;239;26;48;2;255;Austria;1;40;66;-1;204923;2;10;-1;1;1337;78;77;78;77;1;16;39;77;77;50;204923;0;48;17;204923;1;70;2;204923;1322;0;1;0;225375;0;204923;0;0;0;0;40;0;40;77;40;1;184200;204923;0;4;0;-1;40;77
1324;211;0;191;24;36;255;0;-34;255;103;Belarus;1;255;50;-1;207412;2;20;-1;1;1366;50;50;50;50;1;-58;50;50;50;50;213326;1;0;50;197303;0;50;2;197303;1324;0;0;0;203625;0;207412;0;0;0;0;50;0;50;50;50;0;160556;207412;0;7;0;-1;50;50
1325;211;40;238;69;250;10;57;50;10;224;Belgium;1;10;75;-1;192985;2;10;-1;2;105035;84;84;84;83;1;4;36;85;85;36;192985;0;16;51;192985;1;66;4;192985;1325;0;0;0;192985;0;192985;0;0;0;1;36;0;56;84;36;1;192985;192985;0;7;0;-1;66;83
1327;211;107;37;255;255;182;83;43;35;255;Bulgaria;1;41;44;-1;225780;2;10;-1;1;1356;70;70;70;70;1;23;50;69;69;47;225780;1;0;42;222225;1;55;4;208866;1327;0;0;0;234234;0;225780;0;0;0;0;49;0;47;70;55;2;234746;225780;0;5;0;-1;41;70
1328;240;255;255;0;255;0;255;44;0;0;Croatia;1;255;55;-1;177003;2;20;-1;1;110082;50;50;50;50;1;20;70;50;50;50;177003;1;0;60;177003;0;40;2;177003;1328;0;0;0;177003;0;177003;0;1;0;1;40;0;60;50;30;2;177003;177003;1;12;0;-1;50;50
1329;211;0;0;255;255;255;255;35;255;255;Cyprus;18;0;47;-1;157689;2;20;-1;1;1365;50;50;50;50;1;33;45;50;50;44;157689;1;0;45;157689;0;46;2;157689;1329;0;0;0;168053;0;157689;0;1;0;1;46;0;52;50;56;2;157689;157689;1;8;0;-1;45;50
1330;71;27;225;163;59;255;34;50;255;90;Czech Republic;1;255;75;-1;236791;2;10;-1;1;1337;75;75;75;75;1;14;71;74;74;41;236791;2;0;41;236791;0;71;2;236791;1330;0;2;0;236792;0;236791;0;0;0;0;68;0;62;75;75;1;236792;236791;0;5;0;-1;41;75
1331;211;4;154;255;255;153;8;55;3;255;Denmark;1;8;60;-1;190460;2;10;-1;2;1363;78;78;78;76;1;13;53;77;77;52;190460;1;288;42;190460;1;46;2;190460;1331;0;0;0;163587;0;190460;0;0;0;0;50;0;45;78;68;1;190460;190460;0;5;0;-1;42;76
1332;240;108;0;0;0;255;217;49;255;0;Estonia;1;255;50;-1;207451;2;20;-1;1;1357;50;50;50;50;1;-123;50;50;50;50;182053;1;2;50;192898;0;50;2;192898;1332;0;0;0;140620;0;182053;0;0;0;0;50;0;50;50;50;-8;192899;182053;0;5;0;-1;50;50
1334;211;255;255;204;0;255;255;60;235;102;Finland;1;245;25;-1;194163;2;10;-1;2;1363;72;71;72;71;1;24;51;70;70;29;194163;0;0;46;194163;0;30;2;213654;1334;0;2;0;198479;0;194163;0;0;0;0;49;0;68;71;52;2;190362;194163;0;3;0;-1;46;71
1335;240;0;0;255;255;255;136;48;1;255;France;1;1;47;-1;232656;2;10;-1;1;1343;85;84;85;84;1;2;30;81;81;67;232656;1;128;52;231443;1;47;2;231443;1335;0;0;0;231747;0;232656;0;0;0;0;35;0;35;84;24;1;231747;232656;0;9;0;-1;53;84
1336;211;0;255;255;255;255;0;42;0;255;Georgia;1;0;47;-1;254551;2;20;-1;1;1357;50;50;50;50;1;45;43;50;50;56;247635;1;0;58;247635;0;40;2;247635;1336;0;0;0;192904;0;254551;0;0;0;0;47;0;60;50;56;4;254551;254551;1;7;0;-1;53;50
1337;211;255;255;1;1;255;255;52;255;1;Germany;1;255;66;-1;186942;2;10;-1;2;1318;85;85;85;82;1;13;34;83;83;60;186942;0;640;34;212622;0;60;2;212622;1337;0;0;0;186942;0;186942;0;0;0;1;28;0;26;85;20;1;186942;186942;0;10;0;-1;40;82
1338;240;92;51;255;255;15;180;37;136;255;Greece;1;210;25;-1;202517;2;10;-1;2;1365;75;76;75;81;1;23;67;77;77;20;202517;0;96;41;202517;1;28;2;202517;1338;0;0;0;202517;0;202517;0;0;0;0;71;0;71;76;71;2;227732;202517;0;6;0;-1;41;81
1341;211;91;36;255;255;221;167;64;23;255;Iceland;1;11;43;-1;191076;2;10;-1;1;1334;73;72;73;72;1;-21;52;69;69;44;184484;1;64;56;191076;1;70;2;184484;1341;0;2;0;189167;0;184484;0;0;0;0;49;0;44;72;70;0;184484;191076;0;2;0;-1;56;72
1342;211;255;255;255;0;255;255;32;255;128;Israel;1;255;40;-1;204399;2;20;-1;1;1353;50;50;50;50;1;35;54;50;50;60;206317;1;0;50;204399;0;60;2;204399;1342;0;0;0;141001;0;204399;0;0;0;0;55;0;60;50;45;2;208498;204399;0;10;0;-1;60;50
1343;240;107;0;210;0;255;187;41;255;90;Italy;1;255;34;-1;228251;2;10;-1;1;1335;83;83;83;82;1;12;54;83;83;34;224232;2;0;30;224232;0;44;5;226268;1343;0;0;0;230621;1;228251;0;0;0;0;52;0;42;83;42;1;205498;228251;0;9;0;-1;60;82
1352;240;5;164;255;255;17;1;59;51;255;Norway;1;210;46;-1;222665;2;10;-1;2;1363;72;73;72;74;1;10;70;73;73;51;222665;2;0;51;222665;1;69;2;222665;1352;0;2;0;222665;0;222665;0;0;0;0;72;0;61;73;79;1;239085;222665;0;4;0;-1;55;74
1353;240;2;206;255;255;221;2;52;22;255;Poland;1;22;46;-1;210406;2;10;-1;2;1337;77;78;77;82;1;21;52;75;75;34;210406;1;40;49;210406;1;52;2;210406;1353;0;0;0;188545;0;188545;0;1;0;1;49;0;34;78;52;1;188545;188545;0;5;0;-1;56;82
1354;240;10;210;2;0;20;15;39;130;100;Portugal;1;0;66;-1;218667;2;10;-1;1;1362;82;82;82;86;1;-9;50;80;80;38;212198;1;32;68;218667;1;58;4;212198;1354;0;0;0;20801;0;212198;0;0;0;1;51;0;62;82;54;0;20801;212198;0;8;0;-1;58;86
1355;70;153;0;255;255;10;76;53;140;255;Ireland;1;31;67;-1;228151;2;10;-1;2;1318;75;75;75;76;1;-6;50;76;76;55;228151;1;0;35;228151;1;55;2;228151;1355;0;0;0;192622;1;228151;0;0;0;0;53;0;67;75;31;0;259608;228151;0;5;0;-1;35;76
1356;211;204;255;1;255;1;1;44;1;1;Romania;1;204;40;-1;212207;2;10;-1;1;1886;72;73;72;79;1;26;50;71;71;50;212207;1;72;45;212207;1;45;2;212207;1356;0;0;0;212207;0;212207;0;0;0;0;55;0;35;73;45;2;239978;212207;0;5;0;-1;65;79
1357;211;16;255;255;255;160;26;55;20;255;Russia;1;20;44;-1;225663;2;10;-1;2;1353;76;76;76;77;1;37;49;75;75;46;225663;1;0;77;225663;0;63;2;225663;1357;0;0;0;187607;1;225663;0;0;0;0;50;0;46;76;63;3;187607;225663;0;6;0;-1;37;77
1359;211;55;46;255;255;250;94;55;240;255;Scotland;1;1;44;-1;210881;2;10;-1;2;1318;74;74;74;74;1;-4;50;73;73;47;210881;1;0;45;210881;1;49;2;216267;1359;0;0;0;216267;1;210881;0;0;0;0;53;0;47;74;49;0;216218;210881;0;4;0;-1;45;74
1360;240;255;255;211;44;255;255;50;255;106;Slovakia;18;255;45;-1;227562;2;20;-1;1;1330;50;50;50;50;1;14;55;50;50;58;222148;1;0;55;222148;0;55;2;222148;1360;0;0;0;232363;0;222148;0;0;0;0;60;0;50;50;52;1;190875;222148;0;10;0;-1;60;50
1361;240;255;255;200;55;100;255;47;175;20;Slovenia;1;40;74;-1;270017;2;10;-1;2;1343;75;75;75;74;1;16;37;73;73;36;270017;1;0;31;270017;1;66;2;270017;1361;0;0;0;200389;1;270017;0;0;0;0;36;0;46;75;36;1;231786;270017;0;5;0;-1;46;74
1362;211;8;181;25;255;200;16;40;44;173;Spain;1;22;75;-1;210035;2;10;-1;2;1343;86;86;86;84;1;-3;28;86;86;52;210035;1;672;41;210035;1;62;2;210035;1362;0;0;0;201153;0;210035;0;0;0;1;32;0;20;86;27;1;201153;210035;0;9;0;-1;32;84
1363;211;221;253;180;1;250;26;59;210;106;Sweden;1;5;66;-1;208448;2;10;-1;2;1331;77;76;77;77;1;18;52;76;76;35;208448;1;0;55;208448;1;55;2;208448;1363;0;0;0;221660;1;208448;0;0;0;0;53;0;54;76;59;1;233731;208448;0;5;0;-1;55;77
1364;71;23;228;255;255;222;6;47;11;255;Switzerland;1;11;46;-1;193352;2;10;-1;1;1322;78;78;78;74;1;7;53;76;76;60;193352;1;16;55;193352;1;59;4;193352;1364;0;0;0;199503;0;193352;0;0;0;0;53;0;60;78;59;1;199503;193352;0;5;0;-1;55;74
