playerid;firstname;lastname;nationid;birthdate
192623;Severino;Silva;54;147281
187764;Luis Ricardo;Silva;54;146561
192315;Henrique;Silva;54;147035
216258;Ihlas;Bebou;144;150306
227647;Maximilian;Mittelstädt;21;151366
205572;Harm;Zeinstra;34;148569
262396;Jay;Idzes;34;152538
238873;Pietro;Pellegri;27;152826
208681;Jordy;Croux;7;150208
225456;Diederrick;Joel;103;150168
232136;Fernand;Mayembo;107;150932
206436;Yassine;Benzia;97;150444
226863;Dylan;Mboumbouni;18;150974
254579;Lucas;Da Cunha;18;152910
223512;Sacha;Clémence;18;148154
268116;Tom;Rothe;21;154148
247861;Adam;Čerin;44;152216
207563;Papa;Diouf;136;148540
268534;Andy;Diouf;18;153617
235633;Yehvann;Diouf;18;152339
187084;Mame;Diouf;136;147986
255928;Mohammed;Diomande;108;153053
257204;Sinaly;Diomande;108;152849
270531;Ousmane;Diomande;108;153818
188107;Adama;Diomande;36;148777
251136;Horaţiu;Moldovan;39;151674
241953;Regan;Slater;14;152272
241986;Francisco Javier;Hidalgo Gómez;45;150282
241068;Agustín;Dávila;60;152070
225455;Víctor;Dávila;55;151597
215129;Misael;Dávila;55;149295
231104;José Carlos;Ferreira Júnior;54;150590
229401;Niall;Mason;14;151299
241230;Stefan;Mason;50;152369
270847;Dion;Kacuri;47;153887
50066;Evgen;Novak;49;148399
245017;Gaël;Ondoua;103;150866
239405;Jamie;Jacobs;34;151626
222041;Lucas;Boyé;52;150982
270855;Roko;Jureskin;10;152657
253245;Javier;Báez;58;148979
271461;Marcelo;Báez;58;149111
231050;Jaime;Báez;60;150673
239774;Michele;Currarino;27;149681
240025;Samuele;Parlati;27;151325
240091;Guglielmo;Vicario;27;151204
252339;Tiago;Djaló;38;152484
204410;Aliu;Djaló;119;149498
250831;Coniah;Boyce-Clarke;82;153540
253463;Bünyamin;Balcı;48;152506
264485;Oğulcan;Ülgün;48;151785
188274;Mustapha;Yatabaré;126;147297
196934;Oğuzhan;Özyakup;48;149729
202356;Ziya;Erdal;48;148006
210156;Omar;Abdulaziz;183;146526
219605;Cristián;Cuevas;55;150650
270599;Edixon;Cuevas;61;144854
199940;Juan Ezequiel;Cuevas;52;148157
208989;Freddie;Ladapo;14;149860
214323;Guillermo;Celis;56;149956
260411;Miguel;Celis;61;150810
227055;Gelson;Martins;38;150689
213966;Cleberson;Martins;54;149692
225597;Wanderson;Martins;54;150756
232192;Christopher;Martins;31;151339
207465;Felipe;Martins;54;149005
265516;Thiago;Martins;54;150634
215283;César Henrique;Martins;54;149825
273458;Matheus;Martins;54;153677
202642;Fernando Lucas;Martins;54;149525
256204;Diogo;Costa Pinto;38;152199
252150;Patrick William;Sá de Oliveira;54;151443
212994;Rhys;Healey;14;150533
242503;Eryk;Williamson;95;151451
261652;Neraysho;Kasanwirjo;34;153164
205393;Jack;Baldwin;14;150009
212990;Callum;Camps;35;150892
213339;Bradley;Garmston;25;150211
230714;Timi Max;Elšnik;44;151773
179712;Zoltán;Stieber;23;148291
213750;Ken;Sema;46;150101
209975;Alex;De Lima;54;148351
222079;Josh;Onomah;14;151406
215425;Filip;Sachpekidis;46;151473
232761;Gideon;Baah;117;149371
233262;Andre;Rawls;95;149451
234122;José Artur;de Lima Junior;54;150994
167111;Dmitriy;Belorukov;40;146258
248201;Martin;Minchev;9;152862
188546;Semir;Štilić;8;147917
204381;Jakub;Kosecki;37;148973
209471;Augusto;Pereira Loureiro;38;147878
227766;Lasha;Dvali;20;150692
230994;Martin;Bukata;43;150103
217065;César;Samudio;87;150247
138949;Braian;Samudio;58;150915
234904;Rubin;Seigers;7;151665
192373;Milton;Caraglio;52;148337
215927;Renaud;Emond;7;149436
237045;Ramón;Pasquel;83;151097
230869;Unai;Simón;45;151451
256408;Santiago;Simón;52;153279
238659;Valmir;Sulejmani;219;150955
179560;Miralem;Sulejmani;51;148341
220148;Nicolás;Orsini;52;150448
253139;Santiago;Pierotti;52;152843
255043;Daryl;Dike;95;152539
244591;Jayden;Bogle;14;152593
234496;Omar;Bogle;14;150035
226509;Aron Elís;Þrándarson;24;150507
234894;Emil;Bohinen;36;152090
236754;Jonas;Rønningen;36;149063
256853;Malik;Tillman;95;153263
240319;Timothy;Tillman;21;152023
236937;Aleksander A.;Melgalvis;36;148589
206072;Brandon;Miele;25;150433
215026;Pablo Daniel;Magnín;52;148847
263790;Leó;Chú;54;152540
225077;Sondre;Fet;36;151306
222204;Yunding;Cao;155;148693
279551;Ziheng;Cao;155;150623
278067;Haiqing;Cao;155;150099
182360;Yang;Cao;155;145794
241131;Leonel;Justiniano;53;149646
272063;Laurentiu;Corbu;39;150323
235589;Srdjan;Babić;51;151036
279484;Mamur;Ikromov;191;145973
214169;William;Tesillo;56;148765
214584;Franco;Armani;52;147560
231209;Ronaldo;Tavera;56;150770
172881;Vasilis;Pliatsikas;22;148106
237453;Ado;Onaiwu;163;150870
209051;Abdulmajeed;Al Ruwaili;183;147511
241902;Chafik;Abbas;18;151822
208915;Ahmad Mohammed;Abbas;183;146779
211612;Jhon Cley;Jesus Silva;54;150261
234644;Valentino;Vujinovic;21;152070
238953;Maximilian;Wolfram;21;151341
240310;Aaron;Eichhorn;21;151919
268237;Vitor Gabriel;Rego;54;152404
238509;Élie;Youan;18;152116
236506;Marcos;Senesi;52;151419
242103;Emil;Kalsaas;36;152573
242259;Alberto;De Francesco;27;150478
204324;Matthew;Kennedy;35;150498
258361;Scott;Kennedy;70;151379
227676;Mikhail;Kennedy;35;151154
225586;Ben;Kennedy;35;151301
185265;Callum;Kennedy;14;148680
235026;Omar;Richards;14;151908
214525;David;Richards;50;150193
250954;Chris;Richards;95;152472
241908;Isaac;Richards;195;152118
243393;Taylor;Richards;14;152723
228327;Fitim;Azemi;36;149639
213134;Levin;Öztunali;21;150998
245256;Juan Pablo;Vargas;72;150715
240253;Thibaut;Vargas;18;152527
226044;Rodrigo;Vargas;53;150485
238581;Ruben;Vargas;47;151871
221461;Armando;Vargas;56;148363
268710;Kenneth;Vargas;72;153222
238114;Carlos;Vargas;83;152064
226266;Jeisson;Vargas;55;151547
214583;Cristian;Vargas;56;148687
236296;José;Vargas;53;150954
212067;Camilo;Vargas;56;148435
228819;Matías;Vargas;52;151417
216048;Gabriel;Vargas;55;146517
206655;Eduardo;Vargas;55;148691
260555;Luis;Vargas;61;147812
222331;Lukas;Klostermann;21;151078
241907;Diego;Rossi;60;151718
227275;Agustín;Rossi;52;150791
223495;Iván;Rossi;52;150133
224241;Nick;Olij;34;150771
236010;Christián;Herc;43;151927
204156;Sékou;Sanogo;108;148492
226789;Angelo;Fulgini;18;151156
225629;Théo;Valls;18;150910
238269;Jason;Pendant;18;151329
242289;Conor;Hazard;35;151718
203486;Thorgan;Hazard;7;149916
262587;Marin;Ljubičić;10;153174
243525;Robert;Ljubičić;4;152214
209669;Dimitrios;Siovas;22;148261
208137;Lucas;Torró;45;150393
216475;José;Luis Morales;45;147840
226637;Rubén;Duarte;45;150849
250893;Laros;Duarte;34;151348
229883;Omar;Duarte;56;143349
235355;Deroy;Duarte;104;152204
234835;Domingos;Duarte;38;150620
273526;Leonardo;Duarte;54;151122
212772;Óscar;Duarte;72;148521
220433;Óscar Alexander;Whalley Guardado;45;150281
263317;Mateusz;Łęgowski;37;153509
248148;Martín;Zubimendi;45;152052
232090;Giorgi;Aburjania;20;150560
219988;Felipe;Avenatti;60;149944
235867;Luca;Strizzolo;27;149582
262438;Mateus;Quaresma Correia;54;151158
211593;Shay;Facey;14;150565
199904;Jesse;Joronen;17;149908
210646;André;Ibsen Rømer;13;150027
225997;Benjamin;Verbič;44;150159
239358;Seny;Dieng;136;150520
206142;Timothée;Dieng;18;149562
261084;Bamba;Dieng;136;152629
227678;Ezri;Konsa;14;151750
238817;Will;Shorrock;14;152049
169648;Kaheim;Dixon;82;154188
190492;Joss;Labadie;14;148974
224130;Josh;Vickers;14;150893
152828;Ibson;Barreto da Silva;54;146486
189955;Ole;Söderberg;46;148933
247181;Gonzalo;Plata;57;152690
216476;Anderson;Plata;56;149044
202184;Joao;Plata;57;149523
219950;Noah;Sonko Sundberg;46;151081
245703;Igor;Diveev;40;152289
237052;Chidi;Omeje;133;148857
237448;Antonio;Mlinar Delamea;44;149258
237856;Amadou;Kalabane;118;150925
238277;Dániel;Gazdag;23;150985
192086;Alexandr;Kokorin;40;149175
216005;Federico;Rašić;52;149546
239897;Yan;Kazaev;40;149427
203257;Gutieri;Tomelin;54;149277
224257;Maciej;Pałaszewski;37;151751
268462;Daniel;Boloca;39;152010
203851;Daniel;Drescher;4;148647
254910;Tatsuhiro;Sakamoto;163;151219
235751;Bojan;Nastić;51;150380
260264;Noah;Ohio;7;153496
212140;Grégory;Karlen;47;150588
215459;Gaëtan;Karlen;47;149986
240544;Giotto;Morandi;47;152082
220872;Greg;Kiltie;42;151307
221714;Alfredo;Morelos;56;151096
254136;Elijah;Just;198;152506
258355;Elias;Hagen;36;152404
234378;Declan;Rice;14;152033
251325;Marco;Meyerhöfer;21;150880
260705;Facundo;Castet;52;151908
263014;Béni;Makouana;107;153386
215157;Federico;Lértora;52;148918
221832;Lucas;Olaza;60;150395
220766;Juan;Falcón;61;148422
234755;Edmore;Chirambadare;148;149486
278906;Weijun;Xie;155;151607
279227;Pengfei;Xie;155;150008
271805;Erik;Janža;44;150000
272131;Stav;Shushan;26;150692
273072;Jaber;Ansari;161;147646
274109;Ehsan ;Pahlavan;161;150034
270913;Uran;Bislimi;219;152287
275561;Matheus;Rossetto;54;151078
275388;Kyriakos;Kivrakidis;22;149665
232110;Thomas;Glover;195;151647
221373;Mohammed;Al Saiari;183;149950
208987;Ibrahim;Zaid;183;148754
231911;Xuan Truong;Luong;192;150676
236241;Guillermo;Viscarra;53;149866
139574;Daré;Nibombé;144;145247
175667;Andranik;Teymourian;161;146240
206421;David;Manoyan;3;148918
271675;Rauno;Alliku;208;148793
226265;Carlos;Lobos;55;151341
210019;Lukas;Raeder;21;150192
238567;Christopher;Theisen;21;149992
247467;Gastón;Avila;52;153023
241721;Rafael;Leão;38;152180
228975;Steve Aldo;One;103;150563
240216;Marco;Carraro;27;151663
268099;Péter;Szappanos;23;149050
233795;Ben;Brereton Díaz;55;152127
219177;Jorge;Grant;14;150462
209210;Alex;Grant;195;150216
225668;Karlan;Grant;14;151550
216790;Conor;Grant;14;150666
192241;Rhyan;Grant;195;149154
207791;Yussuf;Poulsen;13;150359
236875;Andreas;Poulsen;13;152305
213530;Nicolai;Poulsen;13;150055
211952;Maximilian;Thiel;21;149862
229530;Rick;Wulle;21;150348
236613;Lennart;Grill;21;152044
270866;Youssef;Chermiti;38;153990
221279;Liam;Kelly;25;150884
225203;Liam;Kelly;42;150946
231512;Lloyd;Kelly;14;151928
242638;Dan;Kelly;25;151065
233310;Graham;Kelly;25;151578
203830;Sam;Kelly;14;150122
231396;Ciaran;Kelly;25;151839
238001;Ciaran;Kelly;25;151952
210352;Sean;Kelly;42;150133
240342;Haris;Duljević;8;150148
220287;Juan;Dinenno;52;150433
221350;Thierry;Ambrose;18;151376
235626;Mikey;Ambrose;95;150106
186876;Efe;Ambrose;133;148293
253109;Joey;Veerman;34;151977
227537;Henk;Veerman;34;149154
233096;Denzel;Dumfries;34;151032
216656;Jerome;Sinclair;14;151187
241536;Manprit;Sarkaria;4;151162
231747;Kylian;Mbappé;18;152008
225176;Chérif;Quenum;18;149984
244622;Javier;Puado;45;151799
222573;Andres;Tello;56;151173
238537;Gary;Tello;55;149929
202054;Edinaldo;Gomes Pereira;54;148239
274082;Alan;Matturro;60;154130
262498;Alexander;Petxarroman Eizagirre;45;151326
255210;Anis;Ben Slimane;145;152825
228707;Diego;Alende López;45;151526
208621;Óscar;Plano;45;149139
223740;Iñigo;Eguaras Álvarez;45;149529
216141;Andrea;D'Errico;27;149546
201024;Kalidou;Koulibaly;136;149268
216523;Marios;Oikonomou;22;149742
212795;Evangelos;Oikonomou;22;147835
227668;Salvador;Ichazo;60;149488
230631;Marco;Festa;27;149620
202517;Apostolos;Vellios;22;149470
237250;Stefan;Cleveland;95;150337
220578;Emanuele;Rovini;27;150609
238464;Jan;Mlakar;44;151950
243477;Tomás;Badaloni;52;152507
264283;Burak;Bekaroğlu;48;151395
181006;Sérgio Antônio;Borges Júnior;54;147487
189930;İsmail;Köybaşı;48;148558
205201;Okay;Yokuşlu;48;150261
223511;Issam;Chebake;129;148652
232329;Kubilay;Kanatsızkuş;48;151376
274563;Hussayn;Touati;97;153026
226429;Luigi;Canotto;27;150332
230872;Mile;Svilar;51;152258
225266;Mathias;Rasmussen;36;151618
267738;Justin;Rasmussen;95;151989
234827;Jacob;Rasmussen;13;151437
229873;Alexander;Munksgaard;13;151636
238725;Kevin;Tshiembe;13;151379
239755;Saba;Lobjanidze;20;150545
216386;Haxzel;Quirós;72;151808
202123;Chuks;Aneke;14;150012
226579;Alejandro;Zendejas;95;151692
235770;Harry;Pickering;14;152017
235816;Harry;Pickering;14;151661
252527;Marco;Burch;47;152677
265888;Filip;Nguyen;12;149720
269197;Álvaro;Mantilla Pérez;45;152514
204845;Amin;Affane;46;150214
207644;Nikola;Tkalčić;10;148704
222246;Richie;Marquez;95;149609
221665;Rasmus;Lindkvist;46;148868
228381;Erik;Granat;46;150779
215925;Hanan;Maman;26;148607
237399;Evan;Louro;95;150942
187602;Sergey;Parshivlyuk;40;148444
248021;Iulian;Cristea;39;150391
225614;Ilzat;Akhmetov;40;151654
220794;Yeldos;Akhmetov;165;148884
266636;Adam;Obert;43;153350
189013;Michał;Buchalik;37;148401
207516;Jakub;Świerczok;37;149825
225013;Miroslav;Čovilo;51;147397
223676;Rene;Renner;4;150161
228699;Dries;Wouters;7;151317
229010;Selim;Amallah;129;151243
233897;Mamadou;Fall;136;149462
263295;Mamadou;Fall;136;153075
234045;Henry;Onyekuru;133;151445
235565;Dylan;Bronn;145;150728
236841;Jordi;Cortizo;83;151105
239947;Roberto;Meraz;83;152235
246044;Andrés;Martín García;45;152211
189468;Daniel João;Santos Candeias;38;148057
263804;Yukhym;Konoplya;49;152257
257153;Agustin;Hausch;52;153621
215256;Renzo;Saravia;52;149995
237727;Ángel;Melo;55;151529
214440;Darío;Melo;55;150276
204852;Elton;Melo;54;148808
230658;Arthur;Melo;54;151148
260560;Luis;Melo;61;149327
231093;Juan;Patiño;58;148507
231247;Braian;Cufré;52;151273
263238;Seyed;Niazmand;161;150654
181866;Nikita;Rukavytsya;195;147809
261351;Yair;Arismendi;52;151749
198018;Joan Guillem;Truyols Mascaró;45;148682
199000;Trent;Sainsbury;195;149467
234222;Young Wook;Cho;167;152055
211655;Min Woo;Cho;167;149596
247686;Gue Sung;Cho;167;151679
256476;Mohamed-Ali;Cho;18;153864
244798;Yu Min;Cho;167;151245
202975;Ji Hun;Cho;167;148881
187144;Soo Hyuk;Cho;167;147713
165870;Yong Hyung;Cho;167;146482
208866;Neuciano;Gusmão;9;148362
220748;Boris;Kleyman;26;149031
270019;Urfan;Abbasov;5;149750
220369;Matěj;Hybš;12;149831
265588;Nelson;Solíz;57;150187
244376;Volodymyr;Shepelev;49;151441
241236;Antoine;Semenyo;117;152391
242338;Elier;Aponzá;56;150315
219160;Víctor;Cantillo;56;150116
239265;Vinicius;De Paiva;54;151046
232513;Yusuke;Chajima;163;149298
210923;Mohammed;Al Owais;183;149380
223054;Cristian;Penilla;57;149219
238655;Robert;Kristo;95;149962
242628;George;Bello;95;153137
266580;Eduard;Bello;61;150790
240323;Jack;Earing;14;152040
272967;Miloš;Kopečny;12;150188
268062;Luidy;Viegas;54;151126
181132;José Eduardo;Bischofe de Almeida;54;147938
226599;Janis;Ikaunieks;28;150605
239428;Alessandro;Kräuchi;47;151808
190758;Werley;Ananias;54;148250
229067;Nikolai;Rehnen;21;151324
236703;David;Raum;21;151766
239747;Sergio;Córdova;61;151510
242118;Sebastián;Córdova;83;151452
229050;Oskar;Buur;13;151744
259673;Max;Bruns;34;153425
213000;Sven;van Beek;34;150402
257005;Nicolas;Vouilloz;47;152881
236632;David;Neres;54;151351
239924;José Ricardo;Avelar;54;151901
207865;Marcos;Aoas Corrêa;54;150327
232131;Henrich;Ravas;43;151517
244272;Dino;Perić;10;150386
233265;Rémi;Oudin;18;151246
257470;Anthony;Elanga;46;153232
193554;Diafra;Sakho;136;148725
240785;Michele;Cerofolini;27;152023
190951;Sanel;Kapidžić;8;148836
251431;Maurice;Malone;21;152614
210205;Dion;Malone;92;148411
228589;Raphael;Gregório Guzzo;38;150564
215147;Lautaro;Giannetti;52;150145
194783;Niccolò;Giannetti;27;149229
229453;Gil;Bastiao Dias;38;151195
215057;Iván;Marcone;52;148886
240565;Jacopo;Furlan;27;149881
204215;Adam;Reach;14;149862
240991;Filippo;Florio;27;151037
276589;Vítor;Roque;54;154270
213344;Jahmali;Waite;82;152012
274310;Demirhan;Balçalan;48;150983
274325;Gürkan;Balçalan;48;150983
253283;Facundo;Pellistri;60;153104
206011;Rui Gabriel;Pinheiro Vieira;38;149414
197860;Ivo Daniel;F. Mendonça Pinto;38;148739
211378;Jackson;Irvine;195;149894
234992;Luís Carlos;Rocha Rodrigues;38;147496
243223;Nicolas;Madsen;13;152461
235636;Mads Emil;Madsen;13;151668
178164;Kim André;Madsen;36;148438
261283;Tommy;Conway;42;153333
238306;Aaron;Conway;25;151630
270995;Nikolas;Sattlberger;4;153863
204365;Anton;Forrester;14;150235
189498;Harry;Forrester;14;149099
207710;Leon;Lobjoit;14;150562
211893;Markus;Schwabl;21;148970
213120;Conor;Wilkinson;25;150581
220917;Josh;Ashby;14;151047
225134;Alex;Bass;14;151745
226116;Ryan;Sweeney;25;151394
211217;Dan;Sweeney;14;150308
207646;Pierce;Sweeney;25;150447
237881;Dylan;Sweeney;25;151680
228476;Luke;Higham;14;151218
215810;Cristiano;Lombardi;27;150789
206563;Jason;Holt;42;149878
236945;Jordan;Holt;14;152095
229190;Kevin;Holt;42;149853
179633;Søren;Rieks;13;147733
212607;Maxime;Chanot;31;148753
214969;Fernando;Godoy;52;148853
217047;Aníbal;Godoy;87;148773
215178;Erik;Godoy;52;150056
228415;Leonardo;Godoy;52;150676
224790;Gonzalo;Godoy;60;148018
258700;Matías;Godoy;52;153125
214843;Eric;Godoy;55;147721
229325;Oscar;Linnér;46;151343
240390;Albin;Linnér;46;152064
199058;Sergey;Tkachev;40;148506
228103;Timur;Akmurzin;40;151630
229297;Batraz;Khadartsev;40;149971
266236;Arijon;Ibrahimović;21;154556
254238;Bryan;Carabalí;57;151641
251356;Nicolai;Vallys;13;151171
178578;Ione Agonay;Jiménez Cabrera;45;147192
270673;Warren;Zaïre-Emery;18;154643
199674;Jorge Filipe;Avelino Teixeira;38;147510
229073;Josh;Dacres-Cogley;14;150995
231408;Jonathan;Leko;14;152133
233472;Noah Joel;Sarenren Bazee;133;151157
220074;Runar;Espejord;36;150980
232655;Simen;Juklerød;36;150331
207774;Marc;Ludden;25;148791
223974;Jack;Bayly;25;151093
222511;Ezequiel;Unsain;52;150626
224254;Cristian;Pavón;52;150944
221001;Ulrik;Saltnes;36;149777
229188;Vangelis;Pavlidis;22;151979
236828;Maximiliano;Mori;55;151604
268800;Giannis;Chatzivasilis;11;148848
194136;Seydou;Yahaya;117;148732
241239;Liangming;Lin;155;151444
279179;Chuangyi;Lin;155;149856
278516;Longchang;Lin;155;148787
278886;Yuan;Cheng;155;150109
278088;Yuelei;Cheng;155;147937
279238;Mouyi;Cheng;155;146961
278064;Changcheng;Cheng;155;149183
209297;Frederico;R. de Paula Santos;54;149892
240297;Robin;Källman;17;152062
271014;Sandi;Ogrinec;44;151810
271101;Oleksandr;Noyok;49;149598
271396;Carlos;Grados;59;150693
273073;Meysam;Majidi;161;147569
243714;Eris;Abedini;219;151895
273123;Fardin;Abedini;161;149419
205005;Lukáš;Droppa;12;148479
272966;Josef;Hnanicek;12;147633
241694;Stiven;Rentería;56;151580
212409;Andrés;Rentería;56;149893
214030;Carlos;Rentería;56;150744
237244;Jorge;Betancur;56;149328
241408;Marwin;Reuvers;34;152082
221383;Seung Woo;Ryu;167;150179
242100;Ji Ha;Ryu;167;152171
228461;Jae Moon;Ryu;167;150140
238200;Eon Jae;Ryu;167;150502
202988;Won Woo;Ryu;167;148949
251232;Jorge Fernando;dos Santos Silva;38;151005
262335;Elayis;Tavşan;34;152870
220771;Jérôme;Guihoata;103;150473
238619;Jannis;Nikolaou;21;150040
237040;Dimitrios;Nikolaou;22;151879
168202;Marios;Nikolaou;11;146452
246708;Georgios;Masouras;22;150498
50351;Giannis;Masouras;22;151160
232314;Kosta;Petratos;195;151714
240648;Connor;Metcalfe;195;152328
231075;Blagoy;Makendzhiev;9;148194
169053;Maor;Buzaglo;26;148015
234942;Moritz;Heinrich;21;151473
204651;Marko;Meerits;208;149579
214258;Mathías;Riquero;60;146051
177515;Valdet;Rama;1;147960
211831;Dennis;Mast;21;149508
223678;Dennis;Slamar;21;150444
238699;Kevin;Kunz;21;149484
239523;Maximilian;Rossmann;21;150684
209722;Marcos;Pedroso;54;150105
272960;Daniel;Holzer;12;150788
232102;Conor;Masterson;25;151905
238176;Andrea;Borg;32;152335
240618;Norman;Wabo;14;151719
241599;Billy;Crellin;14;152414
253387;Fahad;Al Hamad;183;151836
260990;Rocco;Ascone;18;153735
236583;Jiří;Pavlenka;12;149567
248878;Luca;Kilian;21;152263
215607;Neilton;Meira;54;150241
240891;Nicolas;Sessa;21;151006
242974;Kevin;Sessa;21;152572
211234;Enzo;Fernández;18;150641
247090;Enzo;Fernández;52;152767
262151;Ezequiel;Fernández;52;153321
228748;Fernando;Fernández;58;149470
219452;Julián;Fernández;52;150639
246351;Valery;Fernández;45;152346
237144;Bryan;Fernández;56;149487
225674;Diego;Fernández;55;151721
225289;Nicolás;Fernández;52;150962
239682;Nicolás;Fernández;55;152234
257866;Nicolás;Fernández;52;152395
271680;Rodrigo;Fernández;60;151200
214835;Ronnie;Fernández;55;149127
215998;Ignacio;Fernández;52;148744
240372;Pedro;Fernández;52;147731
251686;Damián;Fernández;52;152752
241990;Omar;Fernández;56;149870
239899;Víctor;Fernández;45;151776
208054;Leandro;Fernández;52;149168
211269;Guillermo;Fernández;52;149381
221014;Carlos;Fernández;45;151066
252935;Leonardo;Fernández;60;151966
230118;Matías;Fernández;55;150784
264504;Gabriel;Fernández;60;150326
241199;Lucas;Fernández;55;150672
248052;Roberto Carlos;Fernández;53;152212
236371;Álvaro;Fernández;45;151757
248869;Hugo;Fernández;58;151625
183686;Rafael Eduardo;Fernández;83;152602
200724;Nacho;Fernández;45;148750
196871;Marlon;Fernández;61;147287
193314;Aitor;Fernández;45;149220
183248;Aarón;Fernández;83;147847
199247;Alejandro;Fernández;45;149751
208945;Ashton;Götz;21;150025
216193;Bart;Vriends;34;149226
251470;Charles;De Ketelaere;7;152819
213905;Sam;Gallagher;14;150816
219095;Luke;Gallagher;25;150403
221591;Ciaran;Gallagher;25;149554
238216;Conor;Gallagher;14;152421
209935;Declan;Gallagher;42;149141
231685;Ronaël;Pierre-Gabriel;18;151818
212934;Abdellah;Zoubir;18;149436
222467;Iván;López Álvarez;45;150373
190852;Callum;McManaman;14;149212
227127;Alejandro;Remiro;45;150641
240405;Juan Cruz;González;52;151260
239475;Jonathan;González;83;152122
260125;Yair;González;52;153195
208379;Giancarlo;González;72;148040
271136;Jorge;González;58;148086
259474;Bryan;González;83;153580
214770;Diego;González;52;148041
227106;Diego;González;45;150586
242032;Diego;González;83;151058
213444;Rubén;González;83;150220
239943;Claudio;González;83;149543
239638;Martín;González;60;148772
216034;Renato;González;55;148782
221652;Sergio;González;45;149573
219717;Yony;González;56;150385
226086;Ángel;González;52;150329
240690;Nicolás;González;52;151750
255069;Nicolás;González;45;153118
245062;Julio;González;58;149642
207876;Alexander;González;61;149719
220291;Leonel;González;52;150267
216666;Alejandro;González;60;148084
271693;Jesús;González;61;147875
216396;Rodrigo;González;83;150660
236351;Rodrigo;González;55;150892
207984;Arturo;González;83;150441
214730;Ignacio;González;55;148703
260553;Ignacio;González;60;146531
272436;Ignacio;González;60;150137
253953;Gastón;González;52;152928
232066;Walter;González;58;150730
239590;Ramiro;González;52;149057
221580;Dairin;González;56;148887
258403;Jair;González;83;153178
213831;Ronald;González;55;149022
254070;Marcelo;González;58;151071
240942;Fabio;González;45;151332
216027;Leandro;González;52;147193
227394;Carlos;González;58;149863
259533;Francisco;González;52;152846
216394;Cristian;González;83;151711
247500;Édgar;González;45;151380
264501;Giovanni;González;60;150456
263654;Amaguín;González;58;152263
242261;Gonzalo;González;60;150108
271196;Joan;González;45;153147
270598;Mayker;González;61;148159
209523;Derlis;González;58;150272
252239;Lucas;González;52;152539
210123;Pablo;González;83;149651
236747;Luis;González;61;149088
198863;Pablo Andrés;González;52;147054
226162;Emiliano;Buendía;52;151283
236868;Óscar;Arribas Pasero;45;151955
220751;Leonardo;Cáceres;58;147024
251613;Juan José;Cáceres;58;152537
253257;Sebastián;Cáceres;60;152249
234785;Stephane;Omeonga;7;151010
270409;Sávio;Moreira de Oliveira;54;153946
239016;Dominik;Schmid;47;151723
230064;Yannick;Schmid;47;150689
239701;Romano;Schmid;4;152411
239898;Nicolas;Schmid;4;151342
189751;Mirko;Eramo;27;148560
221841;Adam;Armstrong;14;151330
272365;Sinclair;Armstrong;25;153653
212152;Filippo;Berra;27;150595
212443;Simone;Pasa;27;150214
215376;Elio;Capradossi;27;150994
241523;Marcus;Forss;17;152188
261772;Taïryk;Arconte;18;153796
238361;Michael Richard;Delgado de Oliveira;54;150995
190875;Juraj;Kucka;43;147693
255021;Jesse;Sekidika;133;151119
204152;Jens;Jønsson;13;149838
206304;Luka;Milivojević;51;149194
229735;Zachary;Brault-Guillard;70;152018
229197;Claudio;Rivero;60;147010
231219;Braian;Rivero;52;150976
264875;Germán;Rivero;52;149539
232816;Alejandro;Rivero;52;151817
228892;Ignacio;Rivero;60;149563
260666;Rosauro;Rivero;53;146061
223685;Octavio;Rivero;60;149486
184139;Ricardo Abel;Barbosa Ferreira;38;148704
212911;Hernâni Jorge;Santos Fortes;38;149329
210897;Chancel;Mbemba;110;150413
224095;Nolan;Mbemba;18;150608
229327;Hélder Luís;Vieira Tavares;104;148727
242068;Lennart;Moser;21;152359
235634;Ghislain;Konan;108;150919
212883;Daniel;Amartey;117;150548
215660;Jonas;Thorsen;13;148841
229657;Dino;Mikanović;10;150320
239767;Adrian;Kappenberger;13;151161
203054;Haydn;Hollis;14;149750
223852;Farrend;Rawson;14;151116
204709;Diego;Rubio;55;149963
214685;Patricio;Rubio;55;148475
239624;Brian;Rubio;83;151237
243431;Miguel;Rubio;45;151724
225808;Herman;Hallberg;46;151431
210742;Melker;Hallberg;46;150851
227509;Elías Már;Ómarsson;24;150576
213837;Orri Sigurður;Ómarsson;24;150607
240647;Vincent;Bezecourt;18;149989
203529;Andrey;Buyvolov;40;147648
205270;Khoren;Bayramyan;40;149469
224741;Alexandr;Troshechkin;40;151037
225603;Artem;Samsonov;40;150198
228802;Dmitriy;Zhivoglyadov;40;150342
239935;Vitaliy;Fedotov;49;149294
238904;Adrian;Łyszczarz;37;152253
221434;Dieter;Villalpando;83;149313
263707;Martin;Wasinski;7;153943
213813;Alexander;Fransson;46;150285
252796;Morgan;Whittaker;14;152757
226510;Daníel Leó;Grétarsson;24;150833
242571;Carlos;Rotondi;52;151350
215117;Leandro;Desábato;52;148821
238036;Juan Bautista;Cejas;52;151719
215181;Gino;Peruzzi;52;149623
231507;Alexis;Soto;52;150121
230635;Diego;Soto;55;151949
221404;Juan Carlos;Soto;55;150376
227894;Almir;Soto;56;150391
242306;Guillermo;Soto;55;150203
234516;Jaime;Soto;55;149573
184852;Assani;Lukimya;110;147296
